#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
   21   34 -30.14   -.78   .059   .025   .002
   21   35 -24.83   -.17   .064   .023   .000
   21   36 -21.10    .26   .064   .016  -.009
   21   37 -15.31    .63   .055   .007  -.004
   21   38 -11.04    .86   .048  -.004  -.005
   21   39  -4.83    .98   .028  -.004  -.002
   21   40   -.09    .98   .008  0.000   .000
   21   41   6.81   1.19   .037   .018   .002
   21   42  12.23   1.23   .052   .028   .004
   21   43  19.45   1.19   .068   .029  -.001
   21   44  25.32   1.09   .089   .022  -.002
   21   45  32.86    .85   .091   .010  -.009
   21   46  39.14    .62   .089  0.000  -.006
   21   47  47.05    .26   .056   .008  -.006
   21   48  53.54   -.27   .051   .001  -.007
   21   49  61.67   -.86   .041  -.006  -.004
   21   50  68.46  -1.56   .025  -.011  0.000
   21   51  76.74  -2.42   .006  0.000   .000
   21   52  84.30  -2.79   .022  0.000  -.006
   21   53  93.71  -2.92   .006  0.000   .000
   21   54 102.08  -2.89   .025   .008  -.005
   21   55 112.08  -2.80   .031   .002  -.005
   21   56 120.94  -2.65   .031  0.000  -.003
   21   57 131.36  -2.49   .020  0.000  -.004
   22   15  23.84   -.35   .075   .026   .000
   22   16  10.36   -.03   .092   .022  -.002
   22   17   1.87    .10   .094   .021  -.006
   22   18  -9.61    .08   .084   .006  -.008
   22   19 -16.31    .02   .062  -.010  -.006
   22   20 -25.96   -.27   .016  -.001   .000
   22   21 -30.49    .06   .065   .020  -.006
   22   22 -38.12   -.06   .098   .037  -.001
